year,population_thousands,employment_persons,unemployment_rate_pct
2000,1053.394,510254,3.9
2001,1060.335,508494,4.2
2002,1065.089,501778,5.0
2003,1073.439,503647,5.1
2004,1081.705,507694,4.9
2005,1090.441,510816,4.1
2006,1103.572,520225,3.7
2007,1112.838,520881,3.7
2008,1123.146,510326,5.3
2009,1131.07,481066,9.1
2010,1061.728,492128,9.6
2011,1064.114,499441,8.7
2012,1067.725,505049,7.2
2013,1073.11,507683,6.4
2014,1076.373,505793,6.0
2015,1080.114,509608,5.5
2016,1083.318,510063,5.4
2017,1086.149,518494,4.2
2018,1088.545,531188,3.5
2019,1090.916,540963,2.9
2020,1181.801,520181,6.0
2021,1181.352,536391,3.1
2022,1181.493,546331,2.3
2023,1186.458,552869,2.3
2024,1194.316,557408,2.8
2025,1197.766,560459,2.7
