year,county,population_thousands
2021,Bibb,22.346
2022,Bibb,21.976
2023,Bibb,21.881
2024,Bibb,22.225
2025,Bibb,22.262
2021,Blount,59.036
2022,Blount,59.45
2023,Blount,59.771
2024,Blount,60.173
2025,Blount,60.156
2021,Chilton,45.262
2022,Chilton,45.868
2023,Chilton,46.554
2024,Chilton,47.364
2025,Chilton,47.708
2021,Jefferson,669.782
2022,Jefferson,665.691
2023,Jefferson,664.419
2024,Jefferson,666.585
2025,Jefferson,665.742
2021,Shelby,227.449
2022,Shelby,230.157
2023,Shelby,233.488
2024,Shelby,235.806
2025,Shelby,238.552
2021,St. Clair,92.898
2022,St. Clair,93.914
2023,St. Clair,95.578
2024,St. Clair,97.046
2025,St. Clair,98.206
2021,Walker,64.579
2022,Walker,64.437
2023,Walker,64.767
2024,Walker,65.117
2025,Walker,65.14
