year,population,employment,unemployment_rate,house_price_index,housing_supply_index,service_capacity_index,infrastructure_capacity_index,fiscal_capacity_index,housing_pressure,service_gap,infrastructure_gap,fiscal_gap,structural_mismatch,system_stress,threshold_crossed,population_growth,employment_growth,state
2025,1197766.0,560459.0,2.7,311.08,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,stable
2026,1205262.769462837,564041.5231293263,2.8865149814015085,314.7608025835022,100.22403576132683,100.49999999999999,100.49999999999999,100.47939720933428,0.00404283584396703,0.0012924467958050911,0.0013123219435258182,0.001511009547809028,0.014227277530098708,0.021040859006218555,False,0.006258959982865559,0.006392123472593443,stable
2027,1206265.652026591,567558.9948926308,2.9975452959746063,323.1994063161435,100.76079399072248,101.05067941953808,101.00249999999997,101.02476900919758,0.0008746412676132742,0.0,0.0,0.0,0.0014577354460221237,0.013223894295890019,False,0.0008320862380915128,0.0062361929380471935,stable
2028,1212606.4846828487,571962.3363209998,2.7757471183357474,331.2522490612964,101.50118631483349,101.65948642126328,101.50751249999996,101.47861985813006,-0.0005793511143151742,0.0,0.0009611429605225208,0.0008453239969059556,0.0033629965944249425,0.009154705844698909,False,0.005256580626004513,0.0077583854154261115,stable
2029,1217217.50265093,576649.7996246915,2.6373674969361844,341.9563123659499,101.91603638153143,102.3180995887594,102.01505006249995,102.06134184570068,0.0002370737598003103,0.0,0.001746025147237651,0.000672005990744351,0.004705177325780667,0.007101372977783238,False,0.003802567466301679,0.008195405546880146,stable
2030,1231188.6127419837,582965.628699919,2.5623878841913057,348.0895405279368,102.73017875230056,103.04060266695807,102.52512531281243,103.07297408575987,0.0035682600944715315,0.0011394626998180168,0.0079657430003639,0.0020138468652151076,0.02531795729362056,0.022770188206369876,False,0.011477907654652047,0.010952625110315015,stable
2031,1235078.7596678855,593130.3517419643,2.2261728884711562,361.22195892091526,103.3197475384411,103.8724467820695,103.03775093937648,104.11938016309364,0.004587675911513767,0.0005488275961571532,0.012605411821755785,0.0007827002811249262,0.031200484468054773,0.027065076191325737,False,0.003159667727301453,0.017436230442459913,stable
2032,1240121.0547752508,597678.4884732132,2.2268851771431297,371.9700100569784,104.01077799771454,104.8196991127459,103.55293969407334,104.7828980746042,0.0028994477965995635,0.0,0.01332996173795542,0.0,0.027049015890924975,0.02380313398401398,False,0.004082569688690455,0.007668022244842874,stable
2033,1247708.75626147,603054.1883082112,1.9009446104258914,380.22794765590106,104.57512402439305,105.84513954537657,104.0707043925437,105.2319761549206,0.004323530155248001,0.0,0.015783811869870767,0.002944360611017993,0.03964632131481877,0.03341658245153152,False,0.006118516782697861,0.00899430034487328,stable
2034,1249901.4232364635,609809.5437240363,1.98126568517229,390.0141166109893,104.62053686551849,106.9281444893191,104.59105791450641,105.86073154266496,0.008080149049062735,0.0,0.01687869019578847,0.0025793657036323747,0.04697174395731946,0.04004545183062494,False,0.0017573548025449077,0.011201904483536366,stable
